_element_key,_element_name,_element_type,_list_child_element_keys
assistente_nasc,assistente_nasc,string,[]
concerns,concerns,string,[]
concerns_2,concerns_2,array,"[""concerns_2_items""]"
concerns_2_items,items,string,[]
consent,consent,string,[]
cri,cri,integer,[]
date,date,string,[]
decision,decision,array,"[""decision_items""]"
decision_items,items,string,[]
dnacs_crianca,dnacs_crianca,string,[]
escolha_locpar,escolha_locpar,string,[]
especi_locpar_plano,especi_locpar_plano,string,[]
especifique_assi,especifique_assi,string,[]
especifique_badexp,especifique_badexp,string,[]
especifique_concerns,especifique_concerns,string,[]
especifique_fotepag_hf,especifique_fotepag_hf,string,[]
especifique_fotepag_v,especifique_fotepag_v,string,[]
especifique_maternityhome,especifique_maternityhome,string,[]
especifique_maternityhome_tempo,especifique_maternityhome_tempo,string,[]
especifique_outrorazon,especifique_outrorazon,string,[]
especifique_tomador,especifique_tomador,string,[]
especifique_transporte,especifique_transporte,string,[]
honesta,honesta,string,[]
honesta_expl,honesta_expl,string,[]
hora_parto,hora_parto,integer,[]
hora_trabalho,hora_trabalho,integer,[]
img_recibo,img_recibo,mimeUri,"[""img_recibo_contentType"",""img_recibo_uriFragment""]"
img_recibo_contentType,contentType,mimeType,[]
img_recibo_uriFragment,uriFragment,rowpath,[]
locpar,locpar,string,[]
locpar_plano,locpar_plano,string,[]
mae_presente,mae_presente,string,[]
maternityhome,maternityhome,string,[]
mesmo_dia,mesmo_dia,string,[]
mesmo_lugar,mesmo_lugar,string,[]
mor,mor,integer,[]
nome_assis,nome_assis,string,[]
nome_assistente,nome_assistente,string,[]
nome_crianca,nome_crianca,string,[]
nome_mae,nome_mae,string,[]
pagamento_hf,pagamento_hf,string,[]
pagamento_hf_ori,pagamento_hf_ori,array,"[""pagamento_hf_ori_items""]"
pagamento_hf_ori_items,items,string,[]
pagamento_v,pagamento_v,string,[]
pagamento_v_ori,pagamento_v_ori,array,"[""pagamento_v_ori_items""]"
pagamento_v_ori_items,items,string,[]
photo,photo,string,[]
planejamento,planejamento,string,[]
porque,porque,string,[]
recibo,recibo,string,[]
reg,reg,string,[]
tab,tab,integer,[]
transporte,transporte,string,[]
valor_hf,valor_hf,integer,[]
valor_v,valor_v,integer,[]
why,why,array,"[""why_items""]"
why_items,items,string,[]
